"","SIGN.PVALUE.None","SIGN.PVALUE.Greater0","SIGN.PVALUE_0.1","SIGN.PVALUE_1"
"1","HGNC:32207","HGNC:32207","HGNC:4075","HGNC:11530"
"2","HGNC:5099","HGNC:5099","HGNC:4087","HGNC:20193"
"3","HGNC:12660","HGNC:12660","HGNC:7197","HGNC:21679"
"4","HGNC:8820","HGNC:8820","HGNC:4678","HGNC:29427"
"5","HGNC:5286","HGNC:5286","HGNC:4593","HGNC:1460"
"6",NA,NA,"HGNC:5099","HGNC:4075"
"7",NA,NA,"HGNC:11738","HGNC:4087"
"8",NA,NA,"HGNC:4584","HGNC:11140"
"9",NA,NA,"HGNC:12660","HGNC:7197"
"10",NA,NA,"HGNC:19321","HGNC:4678"
"11",NA,NA,"HGNC:6233","HGNC:2217"
"12",NA,NA,"HGNC:4586","HGNC:17282"
"13",NA,NA,"HGNC:17321","HGNC:4580"
"14",NA,NA,"HGNC:13879","HGNC:11429"
"15",NA,NA,"HGNC:19347","HGNC:4593"
"16",NA,NA,"HGNC:20297","HGNC:16001"
"17",NA,NA,"HGNC:28569","HGNC:13406"
"18",NA,NA,"HGNC:1377","HGNC:13830"
"19",NA,NA,"HGNC:11989","HGNC:10802"
"20",NA,NA,"HGNC:4847","HGNC:2191"
"21",NA,NA,"HGNC:779","HGNC:4313"
"22",NA,NA,"HGNC:8820","HGNC:1362"
"23",NA,NA,"HGNC:1958","HGNC:18688"
"24",NA,NA,"HGNC:1962","HGNC:27845"
"25",NA,NA,"HGNC:7623","HGNC:18865"
"26",NA,NA,"HGNC:28385","HGNC:4584"
"27",NA,NA,"HGNC:10585","HGNC:1389"
"28",NA,NA,"HGNC:1092","HGNC:18194"
"29",NA,NA,"HGNC:12872","HGNC:6572"
"30",NA,NA,"HGNC:4081","HGNC:19321"
"31",NA,NA,"HGNC:16472","HGNC:28852"
"32",NA,NA,"HGNC:5286","HGNC:6233"
"33",NA,NA,"HGNC:12633","HGNC:10513"
"34",NA,NA,"HGNC:2699","HGNC:14004"
"35",NA,NA,"HGNC:11115","HGNC:29945"
"36",NA,NA,"HGNC:29007","HGNC:4574"
"37",NA,NA,"HGNC:1406","HGNC:3023"
"38",NA,NA,"HGNC:4576","HGNC:20665"
"39",NA,NA,"HGNC:14674","HGNC:26361"
"40",NA,NA,NA,"HGNC:20202"
"41",NA,NA,NA,"HGNC:4586"
"42",NA,NA,NA,"HGNC:10596"
"43",NA,NA,NA,"HGNC:13533"
"44",NA,NA,NA,"HGNC:20297"
"45",NA,NA,NA,"HGNC:20152"
"46",NA,NA,NA,"HGNC:4083"
"47",NA,NA,NA,"HGNC:4585"
"48",NA,NA,NA,"HGNC:6938"
"49",NA,NA,NA,"HGNC:14203"
"50",NA,NA,NA,"HGNC:4235"
"51",NA,NA,NA,"HGNC:26530"
"52",NA,NA,NA,"HGNC:779"
"53",NA,NA,NA,"HGNC:14253"
"54",NA,NA,NA,"HGNC:11067"
"55",NA,NA,NA,"HGNC:6783"
"56",NA,NA,NA,"HGNC:801"
"57",NA,NA,NA,"HGNC:9402"
"58",NA,NA,NA,"HGNC:8820"
"59",NA,NA,NA,"HGNC:12723"
"60",NA,NA,NA,"HGNC:13818"
"61",NA,NA,NA,"HGNC:3178"
"62",NA,NA,NA,"HGNC:1958"
"63",NA,NA,NA,"HGNC:3974"
"64",NA,NA,NA,"HGNC:12410"
"65",NA,NA,NA,"HGNC:31399"
"66",NA,NA,NA,"HGNC:6220"
"67",NA,NA,NA,"HGNC:33276"
"68",NA,NA,NA,"HGNC:1962"
"69",NA,NA,NA,"HGNC:6256"
"70",NA,NA,NA,"HGNC:9958"
"71",NA,NA,NA,"HGNC:2172"
"72",NA,NA,NA,"HGNC:14074"
"73",NA,NA,NA,"HGNC:7623"
"74",NA,NA,NA,"HGNC:8515"
"75",NA,NA,NA,"HGNC:282"
"76",NA,NA,NA,"HGNC:12858"
"77",NA,NA,NA,"HGNC:1404"
"78",NA,NA,NA,"HGNC:10585"
"79",NA,NA,NA,"HGNC:12872"
"80",NA,NA,NA,"HGNC:4081"
"81",NA,NA,NA,"HGNC:12335"
"82",NA,NA,NA,"HGNC:6024"
"83",NA,NA,NA,"HGNC:3776"
"84",NA,NA,NA,"HGNC:816"
"85",NA,NA,NA,"HGNC:16499"
"86",NA,NA,NA,"HGNC:12633"
"87",NA,NA,NA,"HGNC:2699"
"88",NA,NA,NA,"HGNC:11115"
"89",NA,NA,NA,"HGNC:20145"
"90",NA,NA,NA,"HGNC:29007"
"91",NA,NA,NA,"HGNC:1406"
"92",NA,NA,NA,"HGNC:6009"
"93",NA,NA,NA,"HGNC:17082"
"94",NA,NA,NA,"HGNC:30668"
"95",NA,NA,NA,"HGNC:7678"
"96",NA,NA,NA,"HGNC:13156"
"97",NA,NA,NA,"HGNC:29634"
"98",NA,NA,NA,"HGNC:4092"
"99",NA,NA,NA,"HGNC:4576"
"100",NA,NA,NA,"HGNC:14674"
"101",NA,NA,NA,"HGNC:26257"
"102",NA,NA,NA,"HGNC:10940"
"103",NA,NA,NA,"HGNC:11948"
"104",NA,NA,NA,"HGNC:24229"
"105",NA,NA,NA,"HGNC:21732"
"106",NA,NA,NA,"HGNC:6211"
